법정동명,위도,경도,전기차등록대수,충전소수,비율(퍼센트),일평균유동인구
가정동,36.381482,127.3684873,3,34,1133.33,252926.54
갑동,36.36593395,127.2885841,3,10,333.33,38406.16
계산동,36.33400305,127.2958204,36,13,36.11,233998.82
관평동,36.4218232,127.3970451,63,80,126.98,1049569.2
교촌동,36.30668125,127.3108974,21,15,71.43,61238.39
구룡동,36.76377005,127.1483265,0,0,0.0,23009.05
구성동,36.36997635,127.3683556,1,10,1000.0,307196.74
구암동,36.3561998,127.3212811,27,4,14.81,576558.62
궁동,36.3686748,127.3463467,9,10,111.11,1195393.43
금고동,36.466535,127.3872943,0,0,0.0,7050.12
금탄동,36.48985445,127.3835096,1,0,0.0,575.11
노은동,36.3690835,127.3188105,33,39,118.18,701685.4400000001
대동,36.48067395,127.3929313,0,0,0.0,942.63
대정동,36.3160583,127.3162691,13,10,76.92,262009.69
덕명동,36.3453313,127.2885516,16,17,106.25,742399.62
덕진동,36.4249305,127.3661482,1,4,400.0,169476.75
도룡동,36.38238555,127.3842852,40,65,162.5,386959.88
둔곡동,36.45958285,127.3655371,0,0,0.0,18897.66
문지동,36.39187465,127.3958772,22,26,118.18,305479.13
반석동,36.3942556,127.2992716,33,21,63.64,1073126.11
방동,36.27944215,127.2910715,4,1,25.0,36275.33
방현동,36.41115355,127.3665237,0,2,0.0,23527.45
복용동,36.3415553,127.3183281,11,0,0.0,279147.5
봉명동,36.35282035,127.3478031,39,53,135.9,2079189.84
봉산동,36.44601445,127.3862949,13,8,61.54,407426.33
상대동,36.3405989,127.3328233,52,22,42.31,712069.4400000001
성북동,36.309014,127.2880564,1,0,0.0,27095.81
세동,36.30293985,127.272894,0,0,0.0,2191.17
송강동,36.4296934,127.3803303,21,9,42.86,853173.8200000001
송정동,36.2887867,127.2597955,0,0,0.0,24897.15
신동,36.39457335,127.4084018,0,6,0.0,16505.99
신봉동,36.4083982,127.3342691,4,0,0.0,167509.04
신성동,36.384243,127.349597,18,6,33.33,699715.48
안산동,36.4098992,127.2946718,2,0,0.0,6026.09
어은동,36.37050715,127.356964,28,36,128.57,837449.6799999999
외삼동,36.4021615,127.3100371,2,0,0.0,34245.63
용계동,36.3656509,127.3502131,4,0,0.0,169679.15
용산동,36.4203324,127.3978328,22,27,122.73,308194.23
원내동,36.2978362,127.3204274,21,29,138.1,1075517.65
원신흥동,36.3396268,127.3430728,42,23,54.76,878305.05
원촌동,36.3820652,127.3987081,3,7,233.33,352068.91000000003
자운동,36.4015153,127.3460534,2,0,0.0,47023.090000000004
장대동,36.3622314,127.3308738,24,38,158.33,2737984.9
장동,36.395124,127.3613106,5,12,240.0,408770.5
전민동,36.39415235,127.3989528,37,45,121.62,1102926.32
죽동,36.37551995,127.331911,30,28,93.33,197659.97
지족동,36.3815012,127.3018483,4,1,25.0,1219032.25
추목동,36.41938575,127.343101,1,0,0.0,223502.21
탑립동,36.41752285,127.4065829,19,6,31.58,218648.21
하기동,36.3906093,127.3316187,32,39,121.88,439955.19
학하동,36.33522785,127.3149324,2,0,0.0,249370.73
화암동,36.4045927,127.3770699,1,18,1800.0,53933.14
