읍면동/구	위도	경도
	36.3623219	127.3562683
구룡동	36.76377005	127.1483265
둔곡동	36.45958285	127.3655371
신동	36.39457335	127.4084018
금탄동	36.48985445	127.3835096
대동	36.48067395	127.3929313
금고동	36.466535	127.3872943
송강동	36.4296934	127.3803303
봉산동	36.44601445	127.3862949
용산동	36.4203324	127.3978328
탑립동	36.41752285	127.4065829
원촌동	36.3820652	127.3987081
문지동	36.39187465	127.3958772
반석동	36.3942556	127.2992716
외삼동	36.4021615	127.3100371
안산동	36.4098992	127.2946718
신봉동	36.4083982	127.3342691
자운동	36.4015153	127.3460534
추목동	36.41938575	127.343101
하기동	36.3906093	127.3316187
덕진동	36.4249305	127.3661482
화암동	36.4045927	127.3770699
방현동	36.41115355	127.3665237
장동	36.395124	127.3613106
도룡동	36.38238555	127.3842852
가정동	36.381482	127.3684873
구성동	36.36997635	127.3683556
어은동	36.37050715	127.356964
궁동	36.3686748	127.3463467
죽동	36.37551995	127.331911
지족동	36.3815012	127.3018483
노은동	36.3690835	127.3188105
갑동	36.36593395	127.2885841
장대동	36.3622314	127.3308738
복용동	36.3415553	127.3183281
상대동	36.3405989	127.3328233
덕명동	36.3453313	127.2885516
구암동	36.3561998	127.3212811
봉명동	36.35282035	127.3478031
방동	36.27944215	127.2910715
송정동	36.2887867	127.2597955
세동	36.30293985	127.272894
성북동	36.309014	127.2880564
계산동	36.33400305	127.2958204
학하동	36.33522785	127.3149324
용계동	36.3656509	127.3502131
대정동	36.3160583	127.3162691
교촌동	36.30668125	127.3108974
원내동	36.2978362	127.3204274
원신흥동	36.3396268	127.3430728
관평동	36.4218232	127.3970451
구즉동	36.46091895	127.3757524
전민동	36.39415235	127.3989528
신성동	36.384243	127.349597
노은3동	36.38575335	127.3062435
노은2동	36.3970424	127.3100598
노은1동	36.37054025	127.3030799
온천2동	36.36926935	127.349036
온천1동	36.3536808	127.3314747
진잠동	36.30223895	127.2929775
