기준월,법정동명,일평균유동인구,시간대
1,대정동,3884.82,퇴근
1,세동,18.96,퇴근
1,구암동,5032.1,출근
1,장대동,47364.26,퇴근
1,갑동,144.36,새벽
1,궁동,14696.36,새벽
1,신성동,9269.6,새벽
1,장동,2062.81,새벽
1,원내동,18612.53,퇴근
1,송정동,347.95,퇴근
1,원신흥동,8718.36,출근
1,어은동,5956.87,출근
1,신봉동,2480.73,퇴근
1,전민동,34978.21,저녁
1,전민동,76964.02,주간
1,둔곡동,149.03,출근
1,용계동,1691.95,새벽
1,성북동,224.09,출근
1,방현동,11.6,새벽
1,봉산동,5741.01,퇴근
1,원내동,36134.52,저녁
1,원내동,69505.03,주간
1,송정동,487.58,저녁
1,송정동,1551.72,주간
1,덕명동,4919.27,출근
1,화암동,6.96,새벽
1,덕진동,1852.72,퇴근
1,신봉동,4930.37,저녁
1,신봉동,10731.29,주간
1,문지동,3918.79,퇴근
1,계산동,7806.24,저녁
1,계산동,14416.38,주간
1,복용동,6253.99,새벽
1,수남동,202.7,퇴근
1,안산동,22.66,새벽
1,원촌동,4905.8,퇴근
1,용산동,3915.0,퇴근
1,봉산동,3115.93,출근
1,송강동,14941.51,새벽
1,대정동,2282.39,출근
1,세동,10.7,출근
1,갑동,439.24,퇴근
1,궁동,16806.89,퇴근
1,구성동,4260.16,저녁
1,구성동,26409.22,주간
1,신성동,11180.11,퇴근
1,장동,4206.29,퇴근
1,수남동,35.28,새벽
1,원촌동,3712.2,새벽
1,용산동,2829.11,새벽
1,대동,7.89,퇴근
1,방동,548.1,퇴근
1,가정동,2730.37,저녁
1,가정동,25018.45,주간
1,수남동,247.75,출근
1,외삼동,451.84,퇴근
1,원촌동,2976.09,출근
1,용산동,3114.64,출근
1,구룡동,136.94,퇴근
1,방동,332.4,출근
1,봉명동,58756.69,저녁
1,봉명동,118073.26,주간
1,구성동,1653.6,새벽
1,외삼동,254.31,출근
1,탑립동,1165.42,저녁
1,탑립동,24062.02,주간
1,구룡동,179.98,출근
1,성북동,420.52,퇴근
1,장대동,44007.52,새벽
1,지족동,37791.19,저녁
1,지족동,79788.94,주간
1,전민동,9549.98,출근
1,봉명동,38392.53,새벽
1,덕진동,2781.13,저녁
1,덕진동,16730.76,주간
1,문지동,6618.17,저녁
1,문지동,23105.23,주간
1,탑립동,245.42,새벽
1,금탄동,22.49,출근
1,상대동,7255.64,출근
1,노은동,6253.37,출근
1,봉산동,11260.05,저녁
1,봉산동,21015.03,주간
1,신동,36.82,퇴근
1,학하동,3116.12,퇴근
1,장대동,90635.87,저녁
1,장대동,182714.25,주간
1,자운동,594.68,퇴근
1,구암동,8338.27,새벽
1,지족동,9312.3,출근
1,수남동,235.92,저녁
1,수남동,3078.46,주간
1,원촌동,7787.31,저녁
1,원촌동,25628.63,주간
1,용산동,6420.22,저녁
1,용산동,23189.65,주간
1,반석동,37656.88,저녁
1,반석동,70453.18,주간
1,전민동,19085.42,퇴근
1,관평동,27158.35,저녁
1,관평동,72112.78,주간
1,용계동,1246.39,퇴근
1,구암동,18018.22,저녁
1,구암동,38390.58,주간
1,장대동,25482.59,출근
1,방현동,177.71,퇴근
1,반석동,13273.27,새벽
1,관평동,11826.7,새벽
1,계산동,3624.46,새벽
1,구성동,3559.14,퇴근
1,구암동,9439.88,퇴근
1,복용동,8315.37,저녁
1,복용동,18382.5,주간
1,안산동,137.93,저녁
1,안산동,540.98,주간
1,송강동,33821.87,저녁
1,송강동,50424.2,주간
1,금탄동,20.4,새벽
1,화암동,223.42,퇴근
1,추목동,2978.98,새벽
