위치,공동주택 구분,세대수
계산동,아파트,2482
관평동,아파트,6285
교촌동,도시형생활주택,24
교촌동,아파트,1142
구암동,도시형생활주택,124
구암동,아파트,687
궁동,도시형생활주택,353
궁동,아파트,481
노은동,아파트,3149
노은동,주상복합,339
대동,대세대주택,44
대동,아파트,3503
대동,연립주택,105
대정동,아파트,1276
덕명동,도시형생활주택,27
덕명동,아파트,1680
도룡동,도시형생활주택,174
도룡동,아파트,1121
도룡동,연립주택,76
도룡동,주상복합,869
둔곡동,아파트,2261
문지동,아파트,1142
반석동,아파트,3909
봉명동,"도시형
주상복합",156
봉명동,도시형생활주택,6169
봉명동,아파트,4753
봉명동,주상복합,1923
봉산동,아파트,3237
상대동,아파트,5612
송강동,아파트,7081
신성동,아파트,2374
어은동,아파트,3144
용계동,아파트,360
용산동,도시형생활주택,51
용산동,아파트,1405
원내동,도시형생활주택,28
원내동,아파트,2968
원신흥동,아파트,5441
장대동,아파트,2038
장대동,연립주택,80
장대동,주상복합,311
전민동,아파트,6504
죽동,아파트,3260
지족동,도시형생활주택,157
지족동,아파트,13404
지족동,주상복합,806
하기동,아파트,3317
학하동,아파트,634
